Column,Mean,Median,Std,Min,Max,Skewness,Kurtosis
usd_zar_logret,0.00014653788321087048,-5.408826122543786e-06,0.01006747406021465,-0.0915671935254907,0.0843411484337508,0.2474367682734214,4.670815332188159
platinum_logret,0.00022930512435759718,0.0008193410417876,0.0168391627148301,-0.5704158206097327,0.3155064872535638,-5.122124717520648,215.6166103859715
US_Sugar_logret,0.00013276730676291625,0.0,0.028444885843771917,-0.5219826419998514,0.5038552574072948,-0.6902298726828369,72.62018039382717
US_Soybeans_logret,0.0001224672591803679,0.0005598320759729501,0.015206807544396054,-0.2341094984021339,0.2032093364133924,-0.8805899462887982,17.782801854053165
US_Soybean_Meal_logret,0.0001054906916039976,0.0,0.01757794124586018,-0.2052131605957807,0.1031608208152388,-1.1670595100428267,11.658536915827273
Hard_Red_Winter_Wheat_logret,9.28400540773462e-05,0.0,0.0188027362616721,-0.1570325262021468,0.1970139123642669,0.12872234859718606,5.599621399846001
US_Soybean_Oil_logret,0.00016351551240209808,0.0,0.01506617972154462,-0.0964137296680203,0.0851820026691578,0.011586145499977102,2.014760401798765
Gold_logret,0.0004017680016087293,0.0003385240384394,0.010769063117284079,-0.0981048098008745,0.0858896718804294,-0.2729963669588553,5.514960738113661
Silver_logret,0.0003788009382384733,0.0009460572895041,0.01926981270273325,-0.1948885729880496,0.1246948108240242,-0.7736736762364288,7.264753363741184
US_Copper_logret,0.000288514280222259,0.00067294822117815,0.0929053017051162,-0.971748879710696,0.9994480710361136,-0.027141424408320243,26.110118761811048
Natural_Gas_logret,7.77250450160653e-05,0.0,0.035659379425757566,-0.2133256299423999,0.3243537770478855,0.3716173397765181,5.8521157832331525
US_beef_logret,0.0001756284657760678,0.00072661625479625,0.033212282270865465,-0.3433926794657864,0.3447645878438168,-0.8542857969008588,16.44952118524428
Orange_Juice_logret,4.187666500415019e-05,-2.6073791333125484e-05,0.003129528999149655,-0.0174359316211365,0.0107028369899726,-0.5327665988223667,2.2190773965855985
Brent_Oil_logret,0.00013482356690837423,0.0009581822648101,0.02259210056444138,-0.2797614960828558,0.1907740120271404,-0.6401050331693846,10.805071187973109
US_Cotton_logret,-0.00041012009043113256,-0.0006998045705575,0.10305853178733398,-3.583301036503696,3.603903983970645,-3.964088949937074,923.7856482776477
Palladium_logret,0.00012848474803484408,0.00111708856987295,0.05367230433631989,-0.869477748143475,1.087374038243702,-0.3748752519154302,63.24550888733688
Cocoa_logret,0.00029325628436854877,0.00041017229535705,0.020870239563535134,-0.2605700619352298,0.1280467031584446,-0.6439391402090874,8.6692107136374
Coffee_logret,0.00016167267179737873,0.0,0.02095463930311821,-0.1284674550400071,0.1663130250277547,0.19045385800876127,2.802134194265509
Corn_logret,0.00013528474373631196,0.0,0.017402335689371846,-0.2686204293002889,0.127571042022546,-0.9301661198931497,15.324397742588356
Heating_Oil_logret,0.00011737015477778448,0.0005087902749539,0.0224331940768964,-0.2475355614902088,0.1235719040521199,-0.6362502912323924,7.94905190613718
Lean_Hogs_logret,3.331430691264664e-05,4.808662310251677e-05,0.0035818811561695247,-0.0174469989812293,0.0131010223282075,-0.20643944760760127,1.1265001097002267
Oats_logret,0.00014149194393339628,0.0,0.026495604945782316,-0.6127905504226794,0.4957877464014508,-1.358211392634237,104.26438269141732
RBOB_Gasoline_logret,0.00010009107297388202,0.0008726738895161,0.02621435576757748,-0.3853516519829939,0.2239663245912983,-0.8197409861442624,17.755737627020395
Rice_logret,5.8713230419331854e-05,0.0,0.016932410560021083,-0.2997029809330311,0.1624793368717205,-1.9327987173522991,39.10209904640286
WTI_Crude_Oil_logret,0.0001791579105447441,0.0009506463432154,0.025027000998766518,-0.2822061341491437,0.3196336296877464,-0.00048136065206422376,17.68384874226939
